"";"groupWnt1.OVX.b1";"groupWnt1.OVX.b2";"groupWnt1.OVX.b3";"AveExpr";"F";"P.Value";"adj.P.Val"
"Zkscan3";0,0713887569984999;-0,141002644885225;0,114929347763754;0,0799049680724794;8,43823741389517;0,000886021742240564;0,336156974165205
"Car2";-0,112401682351697;-0,497186743492676;-0,00999040808547054;0,883006449879739;8,37284602975136;0,000923054860883345;0,336156974165205
"Acap3";0,107254086412734;-0,026019767502231;-0,125153205489658;0,0682708765502459;8,34847557397739;0,000937290093486985;0,336156974165205
"Scmh1";0,0447893223719091;-0,0853826221834951;0,102304744827206;0,0506561262114291;8,26622239609948;0,000987150689011185;0,336156974165205
"Zdhhc21";-0,0668666343047527;-0,255356718640719;0,0531416968398054;0,044418036653927;8,2636154806891;0,000988778021453568;0,336156974165205
"Ncbp3";-0,0686064859561854;-0,135737535818227;-0,173500975767133;0,178019564260084;8,25533887611831;0,000993964199414548;0,336156974165205
"Hnrnpa2b1";0,277568134027637;0,017128156579124;-0,296738509475511;1,36058950626134;8,24076996126878;0,0010031661359128;0,336156974165205
"Casc3";0,177538182741364;-0,0915157410708041;0,0839703057440997;0,111742556878581;8,23515294591421;0,00100673895616925;0,336156974165205
"Alad";0,0810411773345044;-0,504490452874936;-0,0698552224454069;0,341986456749021;8,2112030137794;0,00102213090971913;0,336156974165205
"Parp3";0,255842781213566;0,144712564228561;0,0262423222528145;0,0988051203119025;8,21014274561333;0,00102281828105517;0,336156974165205
"Gfod1";-0,0215898250432011;-0,253635489707803;-0,0443118672521951;0,0595382786452468;8,20934433294373;0,00102333622769797;0,336156974165205
"Ralgapb";0,177579003190717;-0,0190002281600542;-0,0803340661443964;0,112504837041887;8,17786629410311;0,00104398874352855;0,337028366100493
"H2-Ob";0,234074008512816;-0,0124312040416442;0,0711780481452504;0,118343400981349;8,07584858994439;0,00111414156254907;0,348193205992004
"Creg1";-0,0800912352130553;-0,341960105383803;-0,162805781375139;0,189171743398331;8,06276251002603;0,00112350991933078;0,348193205992004
"Olfr74";-0,0368097645573568;-0,0834761308734376;0,106581948464948;0,0551095127348101;8,04775396395159;0,00113436154483616;0,348193205992004
"Mau2";0,0474172027478481;0,174296938957824;0,100815121105579;0,037918096805916;7,98754662899871;0,00117906851388772;0,356078691194091
"Polr1d";0,0906306231626665;0,0484771919679655;0,180434109378782;0,0797267494824535;7,91785466153472;0,00123325739620992;0,366531928359278
"Plch1";0,154237567412573;-0,0407792526230733;0,0691973226835278;0,0762370589870073;7,66231908978053;0,00145672356207345;0,426182687129114
"Lrp8";0,0756329250575799;-0,262091086534128;-0,0406535274724642;0,0938238615650946;7,57865333194728;0,00153930348466449;0,433487410296189
"Slc8a3";0,0994036971082734;0,0288752347140452;0,104073514945912;0,0385767824048914;7,54565733679371;0,0015732774807047;0,433487410296189
"Pcdha11";0,107656815362826;0,0752818011577749;0,0974933055980671;0,0460121627409701;7,52302802853614;0,00159705456164625;0,433487410296189
"Picalm";0,197076128278544;-0,0232501135628985;0,0165837630005513;0,0767662096334542;7,51952672508895;0,00160076867333355;0,433487410296189
"Ctbp1";0,120395781175449;-0,244828099104868;0,00996045353270165;0,0746323488085738;7,49431564092713;0,00162779456397197;0,433487410296189
"Rgs19";0,17789021016834;-0,0147779969314096;0,13503558577593;0,111200318665733;7,46737061431363;0,00165723582944173;0,433487410296189
"Dtnbp1";0,0939645506267646;-0,177955283869921;0,0762755562423431;0,0731172465057985;7,42336878680986;0,00170658263925405;0,433487410296189
"Pf4";0,0916924554258688;-0,186332003543493;-0,170411872862047;0,257538787187727;7,41308532729539;0,00171834706096612;0,433487410296189
"Msra";0,162060179087852;-0,206395329166327;0,0609517515052376;0,0758933833803754;7,41019585858192;0,00172166870202624;0,433487410296189
"Ptbp3";-0,0709044433811926;-0,0326615174394521;0,157446240073995;0,174228273449198;7,40341734745736;0,00172948884129343;0,433487410296189
"Chmp6";-0,166448875838634;0,149801678028969;0,0901872478910614;0,0666643069477724;7,38025717568573;0,00175650446248038;0,433487410296189
"Tmpo";0,345552216640974;0,252061872079014;0,0761413385230347;0,457342380144882;7,3777058328454;0,00175950882196701;0,433487410296189
"Mapk1";0,11279926288416;-0,401228002757843;-0,129111021026118;0,284487024459548;7,34779639717206;0,00179515408358236;0,436525520272677
"Ckm";0,0616300420599819;0,435406156976904;-0,0410389784523238;0,149958675806663;7,31079163898896;0,00184036000808749;0,441780779377311
"Triobp";0,0414999701557621;-0,112929917199803;0,18754524590623;0,182848820018234;7,25820665314481;0,00190676959475803;0,450697000328586
"Irf2";0,00178750590880897;-0,230647682612565;0,0383361984752501;0,0613762190633035;7,22773584416348;0,00194645551786055;0,450697000328586
"Gmcl1";0,0924050075546473;0,223876089258975;0,108515875903159;0,0943159880983411;7,22526393584912;0,00194971464572824;0,450697000328586
"Grk2";0,303780807498252;-0,216428890093676;-0,0640490823612144;0,218480638648921;7,1939494173917;0,0019915260414181;0,454747970725763
"Smim4";0,0991676651366345;-0,316783739578763;-7,14523625628122e-05;0,106019969310649;7,15538707191434;0,00204437654649188;0,461191644054385
"Syap1";-0,126372516262685;0,247781488320564;0,104487573273631;0,0583331783366501;7,12009306225852;0,00209410325059561;0,462286885997746
"Bcl7a";0,144729972044207;-0,0440125588947984;0,0698148466437304;0,0741173259210428;7,11693960571947;0,00209861062325403;0,462286885997746
"Sox12";-0,0529407599927323;-0,24746462915198;0,0577633826594705;0,0733904985772231;7,03520297050945;0,00221924810404541;0,483176761629608
"Creb3";0,0359840465897112;0,0227198384076682;0,177530506638668;0,113175466856285;7,0114785494388;0,00225567818433093;0,485463429004739
"Rpp38";-0,0137181798810021;0,164267201890387;0,110312493700932;0,0430912958209392;6,99471946186448;0,00228180922087443;0,48550677104151
"Spred1";0,130568321702534;-0,12333165994978;-0,0934296800380071;0,0671186582524129;6,97608597433017;0,00231125465760907;0,486246429315417
"Rai1";0,163218850296725;-0,0344662686559572;0,0278700879833512;0,0795336570093529;6,9525820385754;0,00234899460682379;0,488695277979651
"Cdk1";0,278223731612597;-0,485501090148067;-0,0540072593384144;0,334237033776162;6,90724073196804;0,00242372947112452;0,498702314476213
"Suox";0,147272062373137;0,0815891032130798;-0,0345520465241267;0,0393505033039299;6,84420619471377;0,00253201078634637;0,513987789642313
"Hebp2";0,00511816642536989;0,145620568687915;0,150903217241259;0,0495924082084227;6,81495032570035;0,00258406647218062;0,513987789642313
"Dad1";0,134628524955431;-0,175365028431908;-0,122116336300882;0,109683410934193;6,80519194913957;0,00260169082442375;0,513987789642313
"Arl2";0,0953561813126682;0,0326886324339739;-0,0844653213785422;0,0574799256491465;6,80181480155561;0,00260782097927898;0,513987789642313
"Mki67";0,0267864542863932;-0,427944473162952;-0,0508363246640853;0,217741213439463;6,76564522976084;0,00267448162636387;0,521635353875386
"Znrf1";0,0367022297734165;-0,318456277345604;0,0218607245053685;0,215339129512563;6,71127720339048;0,00277823669154393;0,529254266967478
"Pcdhga9";0,0186848424535845;-0,263384323885509;-0,0126098021293559;0,0596532485296092;6,71037300449575;0,00277999927284777;0,529254266967478
"Slc25a29";0,192164064201647;0,0327202108427084;-0,078027843360203;0,0676889215514628;6,68077531938206;0,00283837975061534;0,529254266967478
"Eif1a";-0,113545941885979;-0,133887394215545;0,0286370379087097;0,0637260684835335;6,67542075612548;0,00284908486374662;0,529254266967478
"Oser1";0,0730960606243313;-0,23793426533262;0,0593254798952855;0,119119389984776;6,65979599019856;0,00288057745539408;0,529254266967478
"Tacstd2";0,161259973816458;0,0310628453658903;0,0284848822792506;0,0734352087883492;6,64516440970543;0,00291041576601388;0,529254266967478
"H4f16";-0,0873706237247567;-0,78574723004023;-9,73032742620673e-05;0,588667123287328;6,60840341028042;0,00298689423920127;0,529254266967478
"Becn2";0,0815270083876872;0,0770298257804021;0,0855949328211303;0,0317503930061709;6,60497318886437;0,00299414256685669;0,529254266967478
"Vmn1r157";0,215856612652176;-0,0165762140428411;0,0965835851987793;0,187806976515835;6,60462220638697;0,0029948853110799;0,529254266967478
"Herpud1";0,176665868053349;-0,29053845651803;0,0278464188293528;0,132751350402768;6,59423699530066;0,00301695434631372;0,529254266967478
"Fbxl22";-0,0571963380126496;-0,187689966101843;-0,0145551480169177;0,0467169425305719;6,57388701508633;0,00306071958448311;0,529254266967478
"Sdccag8";0,113302149258367;-0,310648341424377;-0,096411281896777;0,11183827111491;6,56817927324651;0,00307311989769587;0,529254266967478
"Pklr";-0,0311870856573356;-0,367700243939229;0,0123696598864621;0,154370867364045;6,51967674111822;0,00318075229135786;0,529254266967478
"Pck2";-0,172025637327743;-0,229452217702633;-0,0519740139677605;0,223192607665197;6,51920265501355;0,00318182459648947;0,529254266967478
