"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",189,0.55096940488099,1.69885627681919,1e-10,5e-09,3.1578947368421e-09,3382,"tags=35%, list=18%, signal=29%","Hbb-bt/Bpgm/Car2/Marchf8/Hmbs/Fech/Gclm/Slc66a2/Snca/Alas2/Slc4a1/Urod/Tmcc2/Kdm7a/Kel/Adipor1/Tfdp2/Car1/Sptb/Epb41/Lamp2/Ermap/Trim10/Acsl6/Dmtn/Nfe2l1/Lpin2/Gypc/Sidt2/Pdzk1ip1/Bnip3l/Slc2a1/Smox/Ezh1/Foxj2/Slc25a37/Marchf2/Map2k3/Atp6v0a1/Htra2/Cast/Clcn3/Ubac1/Rcl1/Kat2b/Khnyn/Cdr2/Ncoa4/Mkrn1/Prdx2/Lmo2/Tyr/Eif2ak1/Mpp1/Cir1/Fn3k/Gypa/Slc25a38/Dcaf11/Tspan5/Alad/Ccnd3/Top1/Asns/Tent5c/Gapvd1/Tfrc"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",99,0.493856880592716,1.47473899192997,0.000380503531856513,0.00694930905675144,0.00438903729900091,1567,"tags=21%, list=8%, signal=20%","Sqstm1/Cdk1/Ecsit/Pak4/Ralb/Akt1/Cdk4/Pitx2/Myd88/Mknk1/Fasl/Akt1s1/Slc2a1/Mknk2/Mapk1/Actr2/Arhgdia/Grb2/Map2k3/Cxcr4/Lck"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",189,0.434717392208905,1.34040540881955,0.000416958543405087,0.00694930905675144,0.00438903729900091,4100,"tags=29%, list=22%, signal=23%","Bpgm/Ppp1r15a/Satb1/Car2/Mmp9/Ccnd2/Arg1/Emp1/Tspan1/H2bc3/Adam8/Trib2/Lat2/Gypc/Strn/Traf1/Itgbl1/Cxcr4/Zfp639/Ace/Ank/Scg3/Serpina3n/Lif/Cbr4/Btbd3/Tnfrsf1b/Tspan13/Ptprr/G0s2/Tlr8/Adgrl4/Slpi/Cmklr1/Vwa5a/Mtmr10/Sdccag8/Gabra3/Wdr33/Hdac9/Ephb2/Plau/Lcp1/Gng11/Pecam1/Fbxo4/Akt2/Aldh1a3/Scn1b/Btc/Tph1/Retn/Pdcd1lg2/Kcnn4"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",160,0.430095421409011,1.31639078988052,0.0024997500249975,0.0312468753124688,0.0197348686184013,5176,"tags=39%, list=28%, signal=29%","Psma1/Dek/Pabpc1/Pa2g4/Tardbp/Cdk4/Ran/Psma4/Hddc2/Fbl/Cdc45/Srsf1/Set/Rfc4/Vbp1/Cnbp/Ccna2/Psmb3/Eprs/Rsl1d1/Kpnb1/Psmc6/Cct2/Tfdp1/Syncrip/Mcm5/Cad/Gspt1/Impdh2/Dut/Exosc7/Cops5/Ncbp1/Eif4h/Tcp1/Got2/Eif2s2/Vdac3/Bub3/Pgk1/Hnrnpr/Prdx3/Canx/Hnrnpd/Srsf3/C1qbp/Aimp2/Hdgf/Myc/Cul1/Mcm2/Nop56/Hdac2/Phb/Rack1/Stard7/Etf1/Kars/U2af1/Lsm2/Fam120a/Ctps/Ruvbl2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",179,0.417888538921429,1.28557741447285,0.0037996200379962,0.037996200379962,0.023997600239976,5188,"tags=41%, list=28%, signal=30%","Cdk1/Ppm1d/Dek/Pa2g4/Cdca8/Cdk4/Ran/Ppp1r8/Pola2/Rpa3/Gins3/Anp32e/Ddx39a/Ak2/Srsf1/Nup107/Mki67/Ezh2/Eed/Kif22/Zw10/Bard1/Slbp/Dscc1/Tbrg4/Psmc3ip/Atad2/Spc24/Trp53/Prim2/Ilf3/Kif4/Syncrip/Mcm5/Gspt1/Pnn/Ccne1/Spc25/Dut/Lmnb1/Hmmr/Spag5/Top2a/Espl1/Pold3/Racgap1/Ssrp1/Hus1/Gins1/Phf5a/Luc7l3/Tfrc/Pds5b/Hnrnpd/Ncapd2/Pole4/Shmt1/Myc/Aurkb/Brca2/Mybl2/Mcm2/Nop56/Chek2/Plk4/Pttg1/Tacc3/Ube2t/Paics/Stag1/Gins4/Lig1/Ctps/Ccp110"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",181,0.414096974928929,1.27438541209954,0.0051994800519948,0.04332900043329,0.0273656844841832,5687,"tags=41%, list=30%, signal=29%","Ppp1r15a/Sqstm1/Tnfaip2/Cd83/Gch1/Ninj1/Sdc4/Birc2/Edn1/Nfat5/Tnc/Traf1/Map2k3/Sat1/Gadd45b/Tgif1/Litaf/Ier5/Egr2/Zfp36/Cxcl5/Rcan1/Fos/Nfe2l2/Slc2a3/Lif/Dnajb4/Ptx3/Mxd1/Il6/Fosl2/Cd44/Fjx1/Nfkbie/Dusp1/Ackr3/Nfkb1/Ripk2/Tubb2a/Cflar/G0s2/Il6st/Ccrl2/Bcl6/Cebpb/Irf1/Nfkb2/Stat5a/Plau/Tap1/Kynu/Tsc22d1/Pde4b/Lamb3/Myc/Irs2/Junb/Klf10/Ifit2/Tlr2/Relb/Tnip2/Dusp4/Jun/Socs3/Sik1/Jag1/Dram1/Rela/Tank/Kdm6b/Icosl/Btg2/Sgk1"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",183,0.40999228971923,1.26250978142378,0.0064993500649935,0.0464239290356679,0.0293203762330534,3944,"tags=28%, list=21%, signal=23%","Ppp1r15a/Hmbs/Sqstm1/Cyb5b/Ccnf/Phgdh/Aldoa/Psma4/Mthfd2l/Atp2a2/Add3/Eef1e1/Sec11a/Ddx39a/Ctsc/Slc2a1/Scd1/Psma3/Rab1a/Got1/Actr2/Insig1/Eprs/Map2k3/Rdh11/Cxcr4/Psme3/Hmgcs1/Pno1/Psmc6/P4ha1/Slc2a3/Lta4h/Psmd13/Cops5/Dhcr7/Egln3/Sytl2/Gga2/Eif2s2/Actr3/Tomm40/Asns/Gtf2h1/Tfrc/Fkbp2/Ebp/Pgk1/Canx/Fads1/Serpinh1/Atp6v1d"
