"","groupWnt1.OVX.b1","groupWnt1.OVX.b2","groupWnt1.OVX.b3","groupWnt1.OVX.b4","AveExpr","F","P.Value","adj.P.Val"
"Atic",0.0562252185126076,-0.283805072549675,-0.272419459515484,-0.150277695365758,0.132185685723047,5.88233744683515,0.00212056044311276,0.467297414858514
"Id3",-0.25395019473258,0.142708253603085,-0.409548921930883,-0.0562732730657395,0.102450737141451,5.85203611491181,0.00217992373546807,0.467297414858514
"Gon4l",-0.230927462281199,0.0791601580085614,0.183199220426754,-0.109245572225095,0.0394360002897381,5.84837128099756,0.00218722447129969,0.467297414858514
"Pabpc1",-0.214849077925124,-0.164882542442304,-0.415647205020128,-0.432232774928514,0.239880396649382,5.82301204659107,0.00223847311502898,0.467297414858514
"Trim26",0.148707203392933,-0.182538609641074,0.207178757675713,0.196098163338768,0.0690733235539764,5.82159834508005,0.00224136803788364,0.467297414858514
"Rbpj",0.18857149718464,-0.116349183642448,0.465248423971125,0.191969757626141,0.0750376170702299,5.81841803826612,0.0022478953567667,0.467297414858514
"Fer",-0.121042909531478,-0.247813084133607,-0.0458395844950316,0.0107400298379849,0.0576149411118377,5.81728376922266,0.00225022832195111,0.467297414858514
"Slc25a19",-0.106068764542191,0.163177442218755,0.334572992556995,-0.165058127909232,0.070456848983573,5.79155425720417,0.00230385840032403,0.468219101809532
"Arid1a",0.146567005639324,-0.0974509430310798,-0.157099690402661,0.207429496429891,0.0589046894732585,5.791122372447,0.0023047703245841,0.468219101809532
"Cln8",-0.104435345506656,-0.0209705353986095,0.298045896897699,-0.171411275267107,0.152302936252773,5.77693247756566,0.00233495044587354,0.469118651732668
"Hoxc11",0.00831667526318317,0.326179855615868,0.382355202348108,-0.0656653829219271,0.0563838036884455,5.76558241124546,0.0023593982484147,0.469118651732668
"Ndufa10",-0.142177202594514,0.273742391895778,0.27608329536705,-0.170621830438396,0.0564083936604217,5.75227077638391,0.00238842446488938,0.46989108682929
"Zfp978",0.227603988803709,0.0299107747291902,0.444175296577276,0.0459855719987953,0.158077641892572,5.73994053561001,0.00241565543650136,0.470297917793859
"Fam76a",-0.000587958237708588,-0.235309738946572,-0.0389838970043251,-0.0479862972199745,0.052491200649069,5.69094421410847,0.00252722670788247,0.482815183685162
"Cnpy4",-0.148249043431985,-0.303258686438865,-0.138919537838622,0.103010665623863,0.114796520592034,5.6890650942308,0.00253161519535291,0.482815183685162
"Ecsit",0.0816084113453072,-0.265652584177808,-0.322478810681357,-0.101907121412118,0.043024918686875,5.66746631313229,0.00258265275136519,0.48588658447303
"Ncbp3",-0.019381283617852,-0.434852088613553,0.108302248985687,0.098716998390102,0.16808520520409,5.66034876785794,0.00259971420263794,0.48588658447303
"Tspo",0.361495664092171,-0.351831351862601,-0.317626377866611,-0.154207942035961,0.163181131296222,5.63030565139653,0.0026730849676664,0.494527741334984
"Cinp",-0.0508353602082089,-0.328202353908994,-0.0909252307849346,0.0142269886423664,0.0834799020459051,5.61995971762267,0.0026988672881845,0.494527741334984
"Tbc1d22a",-0.108583222172345,-0.249493656308053,0.0250385216354008,0.03106813247074,0.0663752125306264,5.5942944410212,0.00276399366972613,0.496642701860728
